step,target_loss_component,learning_rate,total,target,latent,decoded,physiological,weighted_target,weighted_latent,weighted_decoded,weighted_physiological,decoded_joint,target_confidence_component,target_focal_component,target_vc_component,target_vc_latent_posterior_kl,target_vc_discriminator_kl,target_vc_class_prior_kl,predicted_class,target_probability,success,probability_0,probability_1,gradient_norm
0,confidence,1.0,0.1835731863975525,0.1835731863975525,0.0,0.5422641038894653,13.722040176391602,0.1835731863975525,0.0,0.0,0.0,0.5422641038894653,0.1835731863975525,0.6952672600746155,0.03474844619631767,0.0,0.0,0.03474844619631767,1,0.4993746280670166,False,0.4993746280670166,0.5006254315376282,0.013182778842747211
1,confidence,0.7,0.1292879581451416,0.1292879581451416,0.0023961481638252735,0.5429410338401794,12.808115005493164,0.1292879581451416,0.0,0.0,0.0,0.5429410338401794,0.1292879581451416,0.6052496433258057,0.03474844619631767,0.0,0.0,0.03474844619631767,0,0.5272325873374939,False,0.5272325873374939,0.4727674722671509,0.0025558550842106342
2,confidence,0.48999999999999994,0.11291730403900146,0.11291730403900146,0.005121268332004547,0.5433977246284485,11.933340072631836,0.11291730403900146,0.0,0.0,0.0,0.5433977246284485,0.11291730403900146,0.5789148211479187,0.03474844619631767,0.0,0.0,0.03474844619631767,0,0.5359347462654114,False,0.5359347462654114,0.464065283536911,0.0014431205345317721
3,confidence,0.3429999999999999,0.10802918672561646,0.10802918672561646,0.007075273897498846,0.5437111258506775,11.376368522644043,0.10802918672561646,0.0,0.0,0.0,0.5437111258506775,0.10802918672561646,0.5711275935173035,0.03474844619631767,0.0,0.0,0.03474844619631767,0,0.5385608673095703,False,0.5385608673095703,0.4614391624927521,0.0008913698839023709
4,confidence,0.24009999999999995,0.10583311319351196,0.10583311319351196,0.008361779153347015,0.5439074039459229,11.076892852783203,0.10583311319351196,0.0,0.0,0.0,0.5439074039459229,0.10583311319351196,0.5676406621932983,0.03474844619631767,0.0,0.0,0.03474844619631767,0,0.5397448539733887,False,0.5397448539733887,0.46025514602661133,0.0007353550172410905
5,confidence,0.16806999999999994,0.10442328453063965,0.10442328453063965,0.00918374489992857,0.5440250039100647,10.910645484924316,0.10442328453063965,0.0,0.0,0.0,0.5440250039100647,0.10442328453063965,0.5654058456420898,0.03474844619631767,0.0,0.0,0.03474844619631767,0,0.5405063629150391,False,0.5405063629150391,0.4594936668872833,0.000695356575306505
6,confidence,0.11764899999999996,0.10339349508285522,0.10339349508285522,0.009702669456601143,0.5440940260887146,10.807297706604004,0.10339349508285522,0.0,0.0,0.0,0.5440940260887146,0.10339349508285522,0.5637754201889038,0.03474844619631767,0.0,0.0,0.03474844619631767,0,0.5410632491111755,False,0.5410632491111755,0.45893675088882446,0.0007008088869042695
7,confidence,0.08235429999999996,0.10259562730789185,0.10259562730789185,0.010028976015746593,0.5441335439682007,10.742383003234863,0.10259562730789185,0.0,0.0,0.0,0.5441335439682007,0.10259562730789185,0.5625131726264954,0.03474844619631767,0.0,0.0,0.03474844619631767,0,0.541495144367218,False,0.541495144367218,0.45850488543510437,0.0007158996886573732
8,confidence,0.05764800999999997,0.10197621583938599,0.10197621583938599,0.010234249755740166,0.5441552400588989,10.701197624206543,0.10197621583938599,0.0,0.0,0.0,0.5441552400588989,0.10197621583938599,0.5615339875221252,0.03474844619631767,0.0,0.0,0.03474844619631767,0,0.5418306589126587,False,0.5418306589126587,0.4581693708896637,0.0007212989730760455
9,confidence,0.04035360699999998,0.10150659084320068,0.10150659084320068,0.010363676585257053,0.5441666841506958,10.673766136169434,0.10150659084320068,0.0,0.0,0.0,0.5441666841506958,0.10150659084320068,0.5607919692993164,0.03474844619631767,0.0,0.0,0.03474844619631767,0,0.5420851707458496,False,0.5420851707458496,0.4579148292541504,0.0007148414733819664
10,confidence,0.02824752489999998,0.10115784406661987,0.10115784406661987,0.01044549886137247,0.5441723465919495,10.655674934387207,0.10115784406661987,0.0,0.0,0.0,0.5441723465919495,0.10115784406661987,0.560241162776947,0.03474844619631767,0.0,0.0,0.03474844619631767,0,0.5422742366790771,False,0.5422742366790771,0.45772573351860046,0.0007020104676485062
