step,learning_rate,total,target,latent,decoded,physiological,weighted_target,weighted_latent,weighted_decoded,weighted_physiological,decoded_joint,predicted_class,target_probability,success,probability_0,probability_1,gradient_norm
0,0.5,0.23779959976673126,0.1835731863975525,0.0,0.5422641038894653,13.722040176391602,0.1835731863975525,0.0,0.054226409643888474,0.0,0.5422641038894653,1,0.4993746280670166,False,0.4993746280670166,0.5006254315376282,0.01318440493196249
1,0.35,0.18216681480407715,0.13209247589111328,0.0008255926077254117,0.5007433295249939,12.932329177856445,0.13209247589111328,0.0,0.05007433518767357,0.0,0.5007433295249939,0,0.5257560014724731,False,0.5257560014724731,0.47424396872520447,0.00323724583722651
2,0.24499999999999997,0.16479116678237915,0.11685532331466675,0.0019497763132676482,0.47935840487480164,13.175705909729004,0.11685532331466675,0.0,0.047935839742422104,0.0,0.47935840487480164,0,0.5338283777236938,False,0.5338283777236938,0.46617165207862854,0.00215515261515975
3,0.17149999999999996,0.15713021159172058,0.11066824197769165,0.0029024509713053703,0.4646197557449341,13.096508026123047,0.11066824197769165,0.0,0.04646197706460953,0.0,0.4646197557449341,0,0.5371414422988892,False,0.5371414422988892,0.46285855770111084,0.0016196584329009056
4,0.12004999999999998,0.15286797285079956,0.1074933409690857,0.003631001804023981,0.4537462592124939,12.62935733795166,0.1074933409690857,0.0,0.04537462815642357,0.0,0.4537462592124939,0,0.5388495326042175,False,0.5388495326042175,0.46115046739578247,0.001403982867486775
5,0.08403499999999997,0.15014271438121796,0.10557329654693604,0.004165408667176962,0.44569411873817444,12.054330825805664,0.10557329654693604,0.0,0.04456941410899162,0.0,0.44569411873817444,0,0.5398851633071899,False,0.5398851633071899,0.46011486649513245,0.0011703980853781104
6,0.05882449999999998,0.14835995435714722,0.10438233613967896,0.004549827892333269,0.4397761821746826,11.516265869140625,0.10438233613967896,0.0,0.04397761821746826,0.0,0.4397761821746826,0,0.5405285358428955,False,0.5405285358428955,0.4594714641571045,0.0010425063082948327
7,0.04117714999999998,0.14713887870311737,0.10359293222427368,0.004823501221835613,0.4354594349861145,11.085086822509766,0.10359293222427368,0.0,0.04354594275355339,0.0,0.4354594349861145,0,0.5409553647041321,False,0.5409553647041321,0.45904460549354553,0.0009613242000341415
8,0.028824004999999986,0.1462847739458084,0.10305207967758179,0.005017195362597704,0.43232694268226624,10.763792991638184,0.10305207967758179,0.0,0.043232694268226624,0.0,0.43232694268226624,0,0.5412480235099792,False,0.5412480235099792,0.45875200629234314,0.000907682697288692
9,0.02017680349999999,0.14568106830120087,0.10267496109008789,0.005153804551810026,0.43006107211112976,10.523847579956055,0.10267496109008789,0.0,0.043006107211112976,0.0,0.43006107211112976,0,0.541452169418335,False,0.541452169418335,0.4585478603839874,0.0008753320435062051
10,0.01412376244999999,0.14525043964385986,0.10240787267684937,0.00524995056912303,0.428425669670105,10.341596603393555,0.10240787267684937,0.0,0.0428425669670105,0.0,0.428425669670105,0,0.5415968298912048,False,0.5415968298912048,0.45840319991111755,0.0008580335997976363
