step,total,target,latent,decoded,physiological,weighted_target,weighted_latent,weighted_decoded,weighted_physiological,decoded_joint,predicted_class,target_probability,success,probability_0,probability_1,gradient_norm
0,0.23779959976673126,0.1835731863975525,0.0,0.5422641038894653,13.722040176391602,0.1835731863975525,0.0,0.054226409643888474,0.0,0.5422641038894653,1,0.4993746280670166,False,0.4993746280670166,0.5006254315376282,0.01318440493196249
1,0.20093366503715515,0.12960249185562134,0.08255928009748459,0.630752444267273,36.64111328125,0.12960249185562134,0.008255927823483944,0.0630752444267273,0.0,0.630752444267273,0,0.5270667672157288,False,0.5270667672157288,0.47293320298194885,0.0015341849066317081
2,0.1814727932214737,0.11247771978378296,0.22071129083633423,0.4692395329475403,10.247343063354492,0.11247771978378296,0.022071128711104393,0.04692395403981209,0.0,0.4692395329475403,0,0.5361703634262085,False,0.5361703634262085,0.4638296067714691,0.0006079900776967406
3,0.18649077415466309,0.10875129699707031,0.39658811688423157,0.38080665469169617,3.096928834915161,0.10875129699707031,0.0396588109433651,0.038080666214227676,0.0,0.38080665469169617,0,0.5381721258163452,False,0.5381721258163452,0.4618279039859772,0.0004989454173482955
4,0.19722481071949005,0.10599774122238159,0.5793503522872925,0.3329203426837921,1.292945384979248,0.10599774122238159,0.05793503671884537,0.03329203650355339,0.0,0.3329203426837921,0,0.5396560430526733,False,0.5396560430526733,0.46034398674964905,0.0004735717084258795
5,0.21009959280490875,0.10436594486236572,0.7487627863883972,0.30857375264167786,0.8801207542419434,0.10436594486236572,0.07487627863883972,0.030857374891638756,0.0,0.30857375264167786,0,0.5405373573303223,False,0.5405373573303223,0.45946261286735535,0.00021955893316771835
6,0.22009232640266418,0.10344445705413818,0.8917295336723328,0.27474910020828247,0.3361636996269226,0.10344445705413818,0.08917295187711716,0.027474910020828247,0.0,0.27474910020828247,0,0.5410357117652893,False,0.5410357117652893,0.45896434783935547,0.00020374571613501757
7,0.22803296148777008,0.10276830196380615,1.0037962198257446,0.24885040521621704,0.10837110877037048,0.10276830196380615,0.10037962347269058,0.024885041639208794,0.0,0.24885040521621704,0,0.5414016246795654,False,0.5414016246795654,0.45859837532043457,0.0002371952577959746
8,0.23506224155426025,0.10224473476409912,1.0848907232284546,0.24328447878360748,0.10176470875740051,0.10224473476409912,0.10848907381296158,0.02432844787836075,0.0,0.24328447878360748,0,0.541685163974762,False,0.541685163974762,0.4583148658275604,0.00022135039034765214
9,0.2401137351989746,0.10191893577575684,1.1365300416946411,0.2454180270433426,0.10963251441717148,0.10191893577575684,0.11365300416946411,0.02454180270433426,0.0,0.2454180270433426,0,0.5418617129325867,False,0.5418617129325867,0.4581383168697357,0.00018196699966210872
10,0.2424527406692505,0.10177886486053467,1.1625131368637085,0.24422551691532135,0.10414040833711624,0.10177886486053467,0.11625131219625473,0.024422552436590195,0.0,0.24422551691532135,0,0.5419375896453857,False,0.5419375896453857,0.45806241035461426,0.00022471213014796376
