target_subject,calibration_shots,calibration_fold,calibration_trial_ids,evaluation_trial_ids,n_calibration_samples,n_evaluation_samples,calibration_epochs_ran,zero_shot_loss,zero_shot_accuracy,zero_shot_f1,zero_shot_precision,zero_shot_recall,zero_shot_macro_f1,zero_shot_macro_precision,zero_shot_macro_recall,zero_shot_balanced_accuracy,zero_shot_roc_auc,zero_shot_brier_score,zero_shot_ece,zero_shot_joint_loss,zero_shot_reconstruction_loss,zero_shot_decoder_r2,zero_shot_gcn_gru_reconstruction_loss,zero_shot_gcn_gru_decoder_r2,zero_shot_bilstm_reconstruction_loss,zero_shot_bilstm_decoder_r2,calibrated_loss,calibrated_accuracy,calibrated_f1,calibrated_precision,calibrated_recall,calibrated_macro_f1,calibrated_macro_precision,calibrated_macro_recall,calibrated_balanced_accuracy,calibrated_roc_auc,calibrated_brier_score,calibrated_ece,calibrated_joint_loss,calibrated_reconstruction_loss,calibrated_decoder_r2,calibrated_gcn_gru_reconstruction_loss,calibrated_gcn_gru_decoder_r2,calibrated_bilstm_reconstruction_loss,calibrated_bilstm_decoder_r2,delta_precision,delta_f1,delta_joint_loss,delta_loss,delta_recall,delta_roc_auc,delta_decoder_r2,delta_macro_f1,delta_reconstruction_loss,delta_gcn_gru_reconstruction_loss,delta_brier_score,delta_accuracy,delta_macro_recall,delta_macro_precision,delta_ece,delta_bilstm_decoder_r2,delta_bilstm_reconstruction_loss,delta_gcn_gru_decoder_r2,delta_balanced_accuracy
0,3,1,"[12, 14, 17]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 16]",3,15,10,0.6897903233074284,0.7333333333333333,0.8461538461538461,0.7333333333333333,1.0,0.4230769230769231,0.36666666666666664,0.5,0.5,0.5227272727272727,0.24832161144190532,0.22978740135828646,1.4035961627960205,0.6154942512512207,0.2910066843032837,0.7701440453529358,0.22985583543777466,0.6478424072265625,0.3521575331687927,0.6896699162629086,0.7333333333333333,0.8461538461538461,0.7333333333333333,1.0,0.4230769230769231,0.36666666666666664,0.5,0.5,0.5454545454545454,0.24826141322264472,0.2297147949536641,1.025272011756897,0.6154942512512207,0.2910066843032837,0.7701440453529358,0.22985583543777466,0.6478424072265625,0.3521575331687927,0.0,0.0,-0.37832415103912354,-0.0001204070445197658,0.0,0.022727272727272707,0.0,0.0,0.0,0.0,-6.019821926059321e-05,0.0,0.0,0.0,-7.260640462236623e-05,0.0,0.0,0.0,0.0
0,3,2,"[4, 15, 16]","[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17]",3,15,10,0.6897051047962398,0.8,0.88,0.7857142857142857,1.0,0.64,0.8928571428571428,0.625,0.625,0.5681818181818181,0.24827898967029066,0.29680209557215376,1.007204532623291,0.6243651509284973,0.2827163338661194,0.7847554087638855,0.21524453163146973,0.6498118042945862,0.35018813610076904,0.6889868218135948,0.7333333333333333,0.8461538461538461,0.7333333333333333,1.0,0.4230769230769231,0.36666666666666664,0.5,0.5,0.5909090909090908,0.24791988719488672,0.2293763081232706,0.99537193775177,0.6243651509284973,0.2827163338661194,0.7847554087638855,0.21524453163146973,0.6498118042945862,0.35018813610076904,-0.05238095238095242,-0.03384615384615386,-0.011832594871520996,-0.0007182829826449799,0.0,0.022727272727272707,0.0,-0.21692307692307694,0.0,0.0,-0.00035910247540393847,-0.06666666666666676,-0.125,-0.5261904761904761,-0.06742578744888317,0.0,0.0,0.0,-0.125
0,3,3,"[6, 7, 9]","[0, 1, 2, 3, 4, 5, 8, 10, 11, 12, 13, 14, 15, 16, 17]",3,15,10,0.6890653248972175,0.8,0.88,0.7857142857142857,1.0,0.64,0.8928571428571428,0.625,0.625,0.7272727272727273,0.24795911471069848,0.2966320991516114,1.014396071434021,0.6281052827835083,0.2795577049255371,0.7846063375473022,0.21539366245269775,0.6562781929969788,0.34372180700302124,0.6887090981043578,0.8,0.88,0.7857142857142857,1.0,0.64,0.8928571428571428,0.625,0.625,0.6818181818181819,0.24778101792618448,0.2963023980458578,0.9965802431106567,0.6281052827835083,0.2795577049255371,0.7846063375473022,0.21539366245269775,0.6562781929969788,0.34372180700302124,0.0,0.0,-0.017815828323364258,-0.00035622679285973735,0.0,-0.045454545454545414,0.0,0.0,0.0,0.0,-0.00017809678451399802,0.0,0.0,0.0,-0.00032970110575358813,0.0,0.0,0.0,0.0
0,3,4,"[2, 5, 13]","[0, 1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17]",3,15,10,0.6895843010847085,0.8,0.88,0.7857142857142857,1.0,0.64,0.8928571428571428,0.625,0.625,0.5909090909090908,0.24821859501107635,0.2968424081802369,1.0125449895858765,0.6341565251350403,0.274336576461792,0.7901308536529541,0.2098691463470459,0.6611959934234619,0.3388040065765381,0.6890541016026356,0.7333333333333333,0.8461538461538461,0.7333333333333333,1.0,0.4230769230769231,0.36666666666666664,0.5,0.5,0.5681818181818181,0.24795352052668018,0.22957516113917031,1.0046741962432861,0.6341565251350403,0.274336576461792,0.7901308536529541,0.2098691463470459,0.6611959934234619,0.3388040065765381,-0.05238095238095242,-0.03384615384615386,-0.007870793342590332,-0.0005301994820728906,0.0,-0.022727272727272707,0.0,-0.21692307692307694,0.0,0.0,-0.0002650744843961661,-0.06666666666666676,-0.125,-0.5261904761904761,-0.06726724704106657,0.0,0.0,0.0,-0.125
0,3,5,"[0, 8, 11]","[1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 13, 14, 15, 16, 17]",3,15,10,0.6894411484267055,0.8,0.88,0.7857142857142857,1.0,0.64,0.8928571428571428,0.625,0.625,0.6136363636363636,0.24814702349163179,0.2967163642247518,1.0030802488327026,0.6338468194007874,0.2729262709617615,0.7987375855445862,0.20126241445541382,0.6554098725318909,0.34459012746810913,0.6900551197359296,0.8,0.88,0.7857142857142857,1.0,0.64,0.8928571428571428,0.625,0.625,0.5909090909090909,0.24845399540713733,0.2972193280855815,1.0135005712509155,0.6338468194007874,0.2729262709617615,0.7987375855445862,0.20126241445541382,0.6554098725318909,0.34459012746810913,0.0,0.0,0.01042032241821289,0.0006139713092241372,0.0,-0.022727272727272707,0.0,0.0,0.0,0.0,0.0003069719155055495,0.0,0.0,0.0,0.0005029638608297082,0.0,0.0,0.0,0.0
0,3,6,"[1, 3, 10]","[0, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17]",3,15,10,0.6907981456828725,0.7333333333333333,0.8333333333333334,0.7142857142857143,1.0,0.5833333333333334,0.8571428571428572,0.6,0.6,0.48,0.24882549980696567,0.23029413223266593,1.0259634256362915,0.6335443258285522,0.27490079402923584,0.791046679019928,0.20895332098007202,0.6591516733169556,0.34084832668304443,0.690057267900201,0.6666666666666666,0.8,0.6666666666666666,1.0,0.4,0.3333333333333333,0.5,0.5,0.45999999999999996,0.2484550876847294,0.16238230864206948,1.0230393409729004,0.6335443258285522,0.27490079402923584,0.791046679019928,0.20895332098007202,0.6591516733169556,0.34084832668304443,-0.04761904761904767,-0.033333333333333326,-0.0029240846633911133,-0.0007408777826714008,0.0,-0.020000000000000018,0.0,-0.18333333333333335,0.0,0.0,-0.0003704121222362633,-0.06666666666666665,-0.09999999999999998,-0.523809523809524,-0.06791182359059644,0.0,0.0,0.0,-0.09999999999999998
0,6,1,"[2, 4, 7, 12, 13, 16]","[0, 1, 3, 5, 6, 8, 9, 10, 11, 14, 15, 17]",6,12,10,0.6889172719847961,0.8333333333333334,0.9,0.8181818181818182,1.0,0.7,0.9090909090909092,0.6666666666666666,0.6666666666666666,0.7407407407407407,0.24788508594229963,0.33004915714263916,1.0169166326522827,0.6275623440742493,0.28073179721832275,0.7828992605209351,0.21710067987442017,0.6556370854377747,0.34436285495758057,0.6883195144155189,0.75,0.8571428571428571,0.75,1.0,0.42857142857142855,0.375,0.5,0.5,0.7037037037037037,0.24758624725087972,0.24601817627747857,1.0078606605529785,0.6275623440742493,0.28073179721832275,0.7828992605209351,0.21710067987442017,0.6556370854377747,0.34436285495758057,-0.06818181818181823,-0.04285714285714293,-0.0090559720993042,-0.0005977575692772685,0.0,-0.03703703703703698,0.0,-0.2714285714285714,0.0,0.0,-0.00029883869141991704,-0.08333333333333337,-0.16666666666666663,-0.5340909090909092,-0.08403098086516059,0.0,0.0,0.0,-0.16666666666666663
0,6,2,"[0, 3, 8, 9, 10, 11]","[1, 2, 4, 5, 6, 7, 12, 13, 14, 15, 16, 17]",6,12,10,0.6904499205803439,0.75,0.8421052631578947,0.7272727272727273,1.0,0.6210526315789473,0.8636363636363636,0.625,0.625,0.5625,0.2486513956823823,0.2468671451012293,1.0297359228134155,0.6276677846908569,0.27853649854660034,0.7979255318641663,0.20207440853118896,0.6450012922286987,0.3549986481666565,0.6895606038591379,0.6666666666666666,0.8,0.6666666666666666,1.0,0.4,0.3333333333333333,0.5,0.5,0.5625,0.24820677797310964,0.1623323460419972,1.002950668334961,0.6276677846908569,0.27853649854660034,0.7979255318641663,0.20207440853118896,0.6450012922286987,0.3549986481666565,-0.06060606060606066,-0.042105263157894646,-0.02678525447845459,-0.0008893167212060682,0.0,0.0,0.0,-0.22105263157894728,0.0,0.0,-0.0004446177092726489,-0.08333333333333337,-0.125,-0.5303030303030303,-0.08453479905923211,0.0,0.0,0.0,-0.125
0,6,3,"[1, 5, 6, 14, 15, 17]","[0, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 16]",6,12,10,0.6898249815324459,0.75,0.8571428571428571,0.75,1.0,0.42857142857142855,0.375,0.5,0.5,0.4444444444444445,0.2483389354416022,0.24662094811598456,1.0583477020263672,0.6295284032821655,0.2784610390663147,0.7788856029510498,0.2211143970489502,0.664192259311676,0.3358076810836792,0.6893102664655134,0.75,0.8571428571428571,0.75,1.0,0.42857142857142855,0.375,0.5,0.5,0.40740740740740744,0.24808160059986464,0.24601380030314124,1.0462160110473633,0.6295284032821655,0.2784610390663147,0.7788856029510498,0.2211143970489502,0.664192259311676,0.3358076810836792,0.0,0.0,-0.012131690979003906,-0.0005147150669324585,0.0,-0.037037037037037035,0.0,0.0,0.0,0.0,-0.0002573348417375665,0.0,0.0,0.0,-0.0006071478128433228,0.0,0.0,0.0,0.0
0,9,1,"[2, 6, 7, 8, 12, 13, 14, 15, 17]","[0, 1, 3, 4, 5, 9, 10, 11, 16]",9,9,10,0.6892238688073031,0.7777777777777778,0.875,0.7777777777777778,1.0,0.4375,0.3888888888888889,0.5,0.5,0.5714285714285714,0.24803838245824317,0.2743399739265442,1.0885926485061646,0.6253777742385864,0.2809596657752991,0.7833930253982544,0.21660691499710083,0.6546875238418579,0.3453124165534973,0.6879991342156604,0.7777777777777778,0.875,0.7777777777777778,1.0,0.4375,0.3888888888888889,0.5,0.5,0.5,0.2474260640323816,0.27313768201404154,1.063785195350647,0.6253777742385864,0.2809596657752991,0.7833930253982544,0.21660691499710083,0.6546875238418579,0.3453124165534973,0.0,0.0,-0.024807453155517578,-0.00122473459164274,0.0,-0.0714285714285714,0.0,0.0,0.0,0.0,-0.0006123184258615688,0.0,0.0,0.0,-0.001202291912502651,0.0,0.0,0.0,0.0
